puerto,potencia_dbm,alarma,degradacion
PORT-007,-24.67,INTERMITENCIA,False
PORT-020,-28.77,SIN_ALARMA,True
PORT-029,-19.37,SIN_ALARMA,False
PORT-015,-27.74,PERDIDA_SEÑAL,True
PORT-011,-26.73,SIN_ALARMA,False
PORT-008,-20.02,SIN_ALARMA,False
PORT-029,-22.66,PERDIDA_SEÑAL,False
PORT-021,-24.75,SIN_ALARMA,False
PORT-007,-21.73,BAJA_POTENCIA,False
PORT-026,-23.64,SIN_ALARMA,False
PORT-019,-14.44,PERDIDA_SEÑAL,False
PORT-023,-24.7,SIN_ALARMA,False
PORT-011,-25.65,INTERMITENCIA,False
PORT-011,-23.82,BAJA_POTENCIA,False
PORT-024,-23.65,SIN_ALARMA,False
PORT-021,-19.62,SIN_ALARMA,False
PORT-004,-29.97,INTERMITENCIA,True
PORT-008,-20.3,SIN_ALARMA,False
PORT-024,-24.17,SIN_ALARMA,False
PORT-003,-18.89,SIN_ALARMA,False
PORT-022,-22.19,SIN_ALARMA,False
PORT-021,-19.93,BAJA_POTENCIA,False
PORT-002,-23.57,BAJA_POTENCIA,False
PORT-024,-20.25,SIN_ALARMA,False
PORT-012,-15.34,SIN_ALARMA,False
PORT-030,-24.96,SIN_ALARMA,False
PORT-006,-22.43,SIN_ALARMA,False
PORT-002,-23.94,SIN_ALARMA,False
PORT-028,-15.63,INTERMITENCIA,False
PORT-021,-23.74,BAJA_POTENCIA,False
PORT-001,-24.93,BAJA_POTENCIA,False
PORT-012,-24.31,PERDIDA_SEÑAL,False
PORT-026,-22.54,SIN_ALARMA,False
PORT-022,-25.17,PERDIDA_SEÑAL,False
PORT-029,-23.47,SIN_ALARMA,False
PORT-012,-21.37,SIN_ALARMA,False
PORT-025,-22.46,SIN_ALARMA,False
PORT-017,-18.67,SIN_ALARMA,False
PORT-027,-23.28,BAJA_POTENCIA,False
PORT-027,-22.82,SIN_ALARMA,False
PORT-010,-20.92,SIN_ALARMA,False
PORT-028,-13.02,SIN_ALARMA,False
PORT-028,-25.15,SIN_ALARMA,False
PORT-016,-14.31,BAJA_POTENCIA,False
PORT-015,-26.73,SIN_ALARMA,False
PORT-030,-21.08,SIN_ALARMA,False
PORT-030,-23.36,SIN_ALARMA,False
PORT-015,-25.26,SIN_ALARMA,False
PORT-030,-19.2,PERDIDA_SEÑAL,False
PORT-019,-19.6,SIN_ALARMA,False
