puerto,minimo,maximo,promedio,mediana
PORT-001,-31.16,-12.28,-22.4984,-22.85
PORT-002,-26.68,-16.08,-21.884117647058826,-21.72
PORT-003,-28.45,-14.64,-22.3492,-23.59
PORT-004,-29.97,-14.0,-21.259999999999998,-19.884999999999998
PORT-005,-27.16,-14.14,-21.825714285714287,-22.045
PORT-006,-25.48,-11.71,-19.70416666666667,-20.73
PORT-007,-28.06,-16.53,-21.0145,-20.950000000000003
PORT-008,-30.7,-17.43,-22.892105263157895,-21.45
PORT-009,-32.26,-14.91,-22.64294117647059,-21.08
PORT-010,-26.93,-15.56,-20.354000000000003,-19.200000000000003
PORT-011,-26.73,-18.67,-23.926363636363636,-24.86
PORT-012,-31.36,-12.89,-22.635882352941177,-23.56
PORT-013,-35.91,-14.35,-22.737777777777776,-21.05
PORT-014,-28.4,-14.19,-23.16333333333333,-24.515
PORT-015,-27.74,-8.98,-21.729333333333333,-21.56
PORT-016,-32.29,-14.31,-22.682222222222222,-21.884999999999998
PORT-017,-29.5,-16.14,-22.005,-21.9
PORT-018,-30.98,-11.71,-20.764545454545456,-20.21
PORT-019,-28.98,-14.27,-21.44142857142857,-20.66
PORT-020,-29.44,-12.47,-19.34888888888889,-18.045
PORT-021,-36.27,-14.75,-22.87066666666667,-22.06
PORT-022,-29.5,-9.3,-22.95764705882353,-23.56
PORT-023,-30.38,-14.88,-23.105625,-23.66
PORT-024,-31.36,-16.27,-23.531764705882352,-24.17
PORT-025,-25.31,-14.01,-20.5975,-21.555
PORT-026,-24.16,-11.53,-20.1925,-21.24
PORT-027,-24.96,-14.38,-20.561666666666667,-20.095
PORT-028,-30.56,-11.84,-21.49074074074074,-22.3
PORT-029,-27.73,-15.62,-21.2075,-21.32
PORT-030,-30.12,-12.44,-20.912,-21.08
